# omastoic quote book — tab-separated: author-slug <TAB> citation <TAB> text
#
# Every line is from a public-domain translation, cited by book and section so it
# can be checked. Translators: Meditations — George Long (1862). Epictetus —
# George Long (1877) and Elizabeth Carter (1758). Seneca's Letters — Richard M.
# Gummere (1917–25); the dialogues — John W. Basore (1928–35). Diogenes Laertius
# — C. D. Yonge (1853). Internet favourites with no source behind them are left
# out on purpose, however well they scan.
#
# Lines starting with # are ignored. Keep a quote under about 260 characters —
# longer than that and it stops fitting beside the portrait on a small screen.

seneca	Letters 2.6	It is not the man who has too little, but the man who craves more, that is poor.
seneca	Letters 1.3	Nothing is ours, except time.
seneca	Letters 71.3	If a man knows not to what port he is steering, no wind is favourable to him.
seneca	Letters 76.3	As long as you live, keep learning how to live.
seneca	Letters 47.11	Treat your inferiors as you would be treated by your betters.
seneca	Letters 61.4	Let us prepare our minds as if we had come to the very end of life. Let us postpone nothing.
seneca	Letters 101.7	Every day ought to be regulated as if it closed the series, as if it rounded out and completed our existence.
seneca	Letters 24.1	It is likely that some troubles will befall us; but it is not a present fact. How often has the unexpected happened! How often has the expected never come to pass!
seneca	Letters 18.5	Set aside now and then a few days during which you shall be content with the scantiest and cheapest fare, and shall say: ‘Is this the condition that I feared?’
seneca	Letters 3.6	It is equally faulty to trust everyone and to trust no one.
seneca	Letters 78.13	The greatest remedy for anger is delay.
seneca	On the Shortness of Life 1.3	It is not that we have a short space of time, but that we waste much of it.
seneca	On the Shortness of Life 2.5	Everyone hurries his life on and suffers from a yearning for the future and a weariness of the present.
seneca	On Providence 5.10	Fire is the test of gold; adversity, of strong men.
seneca	On Providence 2.9	Behold a spectacle worthy of God: a brave man matched in conflict with evil fortune.
seneca	Letters 8.5	No man is good by chance. Virtue has to be learnt.
seneca	Letters 123.16	Cling to philosophy, that harbour which no storm can trouble.

epictetus	Enchiridion 1	Of things some are in our power, and others are not. Our opinions, movements, desires and aversions are in our power; our body, property, reputation and office are not.
epictetus	Enchiridion 5	Men are disturbed not by the things which happen, but by the opinions about the things.
epictetus	Enchiridion 8	Seek not that the things which happen should happen as you wish; but wish the things which happen to be as they are, and you will have a tranquil flow of life.
epictetus	Enchiridion 11	Never say about anything, I have lost it, but say I have restored it.
epictetus	Enchiridion 15	Remember that you must behave as at a banquet. Is anything brought round to you? Put out your hand and take a moderate share. Does it pass by you? Do not stop it.
epictetus	Enchiridion 17	Remember that you are an actor in a play, of such a kind as the author may choose. Your duty is to act well the part that is given you; to choose it belongs to another.
epictetus	Enchiridion 20	It is not he who reviles you or strikes you who insults you, but it is your opinion about these things as being insulting.
epictetus	Enchiridion 33	Be silent for the most part, or, if you speak, say only what is necessary and in few words.
epictetus	Enchiridion 43	Everything has two handles, the one by which it may be borne, the other by which it may not.
epictetus	Enchiridion 46	On no occasion call yourself a philosopher. Sheep do not vomit up the grass to show the shepherds how much they have eaten, but they digest the food inwardly.
epictetus	Enchiridion 48	The condition and characteristic of a philosopher is that he expects all advantage and all harm from himself.
epictetus	Enchiridion 50	Whatever rules are laid before you, abide by them as laws, as if you would be impious to transgress them.
epictetus	Discourses I.1	I must die: must I then die lamenting? I must be put in chains: must I then also lament? I must go into exile: does any man then hinder me from going with smiles and cheerfulness?
epictetus	Discourses I.24	Difficulties are the things that show what men are.
epictetus	Enchiridion 21	Let death and exile, and all other things which appear terrible, be daily before your eyes, but chiefly death; and you will never entertain any abject thought, nor too eagerly covet anything.
epictetus	Discourses I.1	You will fetter my leg, but my will not even Zeus himself can overpower.
epictetus	Discourses IV.1	He is free who lives as he wishes to live, who is neither subject to compulsion nor to hindrance.
epictetus	Fragments 8	It is not poverty that causes sorrow, but covetous desires; and riches do not banish fear, but reasoning.

zeno	Diogenes Laertius VII.23	We have two ears and only one mouth, so that we may hear more and speak less.
zeno	Diogenes Laertius VII.26	Better to trip with the feet than with the tongue.
zeno	Diogenes Laertius VII.26	Well-being is attained by little and little, and nevertheless it is no little thing itself.
zeno	Diogenes Laertius VII.87	The end may be defined as life in accordance with nature.

cleanthes	Hymn to Zeus, in Letters 107.11	Lead me, O Zeus, and thou, O Destiny, wherever your decrees have fixed my station. I follow cheerfully; and did I not, wicked and wretched, I must follow still.
cleanthes	Letters 107.11	Fate leads the willing and drags along the reluctant.
cleanthes	Diogenes Laertius VII.171	I have grown old, but I have not yet been made worse by it.

chrysippus	Diogenes Laertius VII.87	To live in accordance with virtue is the same as living in accordance with the experience of the things which happen by nature.
chrysippus	Diogenes Laertius VII.183	If I had followed the multitude, I should not have studied philosophy.
chrysippus	Plutarch, On Stoic Self-Contradictions 1050	Nothing that happens in the universe happens in a manner contrary to reason.
